absolute_time,datetime,relative_seconds,layer,event_type,evidence_id,description,confidence,source_data
1703189003.434,2023-12-22 05:03:23.434,17.47000002861023,Network,Packet,NET_3,ICMP packet: fe80::813f:cb21:c6d4:b7c2:0 → ff02::2:0,HIGH,Unix timestamp from network capture
1703189006.0694144,2023-12-22 05:03:26.069 (±30s),20.105414390563965,Host,System State,HOST_156,"CPU: 9630194866.000, Memory: 279233626.000",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189006.3117085,2023-12-22 05:03:26.311 (±30s),20.347708463668823,Host,System State,HOST_157,"CPU: 9538818959.833, Memory: 275864132.269",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189006.4376407,2023-12-22 05:03:26.437 (±30s),20.47364068031311,Host,System State,HOST_158,"CPU: 9852939043.000, Memory: 267939171.885",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189006.8694487,2023-12-22 05:03:26.869 (±30s),20.90544867515564,Host,System State,HOST_159,"CPU: 9625209538.000, Memory: 265020731.385",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189011.1253965,2023-12-22 05:03:31.125 (±30s),25.161396503448486,Host,System State,HOST_160,"CPU: 9594333764.167, Memory: 283152212.269",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189011.3837314,2023-12-22 05:03:31.383 (±30s),25.419731378555298,Host,System State,HOST_161,"CPU: 9630594980.500, Memory: 275631564.500",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189011.5136285,2023-12-22 05:03:31.513 (±30s),25.549628496170044,Host,System State,HOST_162,"CPU: 9597993062.833, Memory: 270133199.269",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189011.96546,2023-12-22 05:03:31.965 (±30s),26.001460075378418,Host,System State,HOST_163,"CPU: 9611214460.667, Memory: 265732103.077",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189016.1816566,2023-12-22 05:03:36.181 (±30s),30.21765661239624,Host,System State,HOST_164,"CPU: 9654502856.833, Memory: 281590211.615",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189016.4516728,2023-12-22 05:03:36.451 (±30s),30.487672805786133,Host,System State,HOST_165,"CPU: 9621176665.333, Memory: 253022077.385",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189016.581632,2023-12-22 05:03:36.581 (±30s),30.617631912231445,Host,System State,HOST_166,"CPU: 9580874000.667, Memory: 290920817.077",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189017.0494769,2023-12-22 05:03:37.049 (±30s),31.085476875305176,Host,System State,HOST_167,"CPU: 9630839899.667, Memory: 268373104.231",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189021.2455733,2023-12-22 05:03:41.245 (±30s),35.28157329559326,Host,System State,HOST_168,"CPU: 9656850392.333, Memory: 283185778.962",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189021.5197382,2023-12-22 05:03:41.519 (±30s),35.5557382106781,Host,System State,HOST_169,"CPU: 9821395889.333, Memory: 291527927.115",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189021.653623,2023-12-22 05:03:41.653 (±30s),35.6896231174469,Host,System State,HOST_170,"CPU: 9666069950.500, Memory: 275192386.423",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189022.1374586,2023-12-22 05:03:42.137 (±30s),36.17345857620239,Host,System State,HOST_171,"CPU: 9644865997.500, Memory: 289045265.423",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189026.3015356,2023-12-22 05:03:46.301 (±30s),40.33753561973572,Host,System State,HOST_172,"CPU: 9596995200.833, Memory: 293814566.269",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189026.5917153,2023-12-22 05:03:46.591 (±30s),40.62771534919739,Host,System State,HOST_173,"CPU: 9624426284.667, Memory: 264005841.885",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189026.7296379,2023-12-22 05:03:46.729 (±30s),40.76563787460327,Host,System State,HOST_174,"CPU: 9625536805.667, Memory: 260524677.500",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189027.2258813,2023-12-22 05:03:47.225 (±30s),41.26188135147095,Host,System State,HOST_175,"CPU: 9621702412.833, Memory: 253159615.308",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189031.3654828,2023-12-22 05:03:51.365 (±30s),45.401482820510864,Host,System State,HOST_176,"CPU: 9581727648.667, Memory: 277768431.769",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189031.6596906,2023-12-22 05:03:51.659 (±30s),45.695690631866455,Host,System State,HOST_177,"CPU: 9601496366.167, Memory: 256970564.808",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189031.8056433,2023-12-22 05:03:51.805 (±30s),45.84164333343506,Host,System State,HOST_178,"CPU: 9605952547.167, Memory: 270706689.154",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189032.3014448,2023-12-22 05:03:52.301 (±30s),46.33744478225708,Host,System State,HOST_179,"CPU: 9800931313.333, Memory: 266176949.038",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189036.42556,2023-12-22 05:03:56.425 (±30s),50.461560010910034,Host,System State,HOST_180,"CPU: 9597877691.333, Memory: 263111067.115",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189036.731666,2023-12-22 05:03:56.731 (±30s),50.76766610145569,Host,System State,HOST_181,"CPU: 9627407567.000, Memory: 278513981.846",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189036.893638,2023-12-22 05:03:56.893 (±30s),50.92963790893555,Host,System State,HOST_182,"CPU: 9586131390.000, Memory: 286243721.615",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189037.3735032,2023-12-22 05:03:57.373 (±30s),51.40950322151184,Host,System State,HOST_183,"CPU: 9575779332.333, Memory: 260429296.346",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189041.4855442,2023-12-22 05:04:01.485 (±30s),55.521544218063354,Host,System State,HOST_184,"CPU: 9627757245.000, Memory: 281757795.577",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189041.7916932,2023-12-22 05:04:01.791 (±30s),55.82769322395325,Host,System State,HOST_185,"CPU: 9627240527.333, Memory: 270817714.808",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189041.9583106,2023-12-22 05:04:01.958 (±30s),55.9943106174469,Host,System State,HOST_186,"CPU: 9600031685.167, Memory: 270248272.038",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189042.465447,2023-12-22 05:04:02.465 (±30s),56.50144696235657,Host,System State,HOST_187,"CPU: 9585911301.167, Memory: 284785416.269",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
